ENSG00000187634.1	3	3	0.012	0.004	0.004	0.002	0.005
ENSG00000187634.2	169	169	59.841	0.354089	0.354089	0	0.998
ENSG00000187634.3	163	163	103.251	0.633442	0.633442	0.001	0.999
ENSG00000187634.4	116	116	95.722	0.82519	0.82519	0.397	0.999
ENSG00000187634.5	79	79	70.876	0.897165	0.897165	0.58	0.998
ENSG00000187634.6	500	500	165.844	0.331688	0.331688	0	1
ENSG00000187634.7	125	125	96.015	0.76812	0.76812	0	1
ENSG00000187634.8	456	456	194.795	0.427182	0.427182	0	1
ENSG00000187583.1	120	120	7.705	0.0642083	0.0642083	0	0.994
ENSG00000187583.2	36	36	0.307	0.00852778	0.00852778	0	0.042
ENSG00000187642.1	30	30	0.045	0.0015	0.0015	0	0.007
ENSG00000188290.1	78	78	17.282	0.221564	0.221564	0	0.967
ENSG00000188157.1	148	148	103.344	0.69827	0.69827	0.11	0.998
ENSG00000188157.2	12	12	11.801	0.983417	0.983417	0.955	0.993
ENSG00000188157.3	24	24	23.973	0.998875	0.998875	0.993	1
ENSG00000188157.4	33	33	10.666	0.323212	0.323212	0.145	0.75
ENSG00000131591.1	438	438	3.484	0.00795434	0.00795434	0	0.929
ENSG00000131591.2	108	108	1.915	0.0177315	0.0177315	0	0.124
ENSG00000131591.3	97	97	0.381	0.00392784	0.00392784	0	0.026
ENSG00000186891.1	253	253	8.977	0.0354822	0.0354822	0	0.829
ENSG00000078808.1	158	158	150.473	0.952361	0.952361	0.41	1
ENSG00000078808.2	78	78	3.884	0.0497949	0.0497949	0	0.94
ENSG00000160087.1	48	48	2.933	0.0611042	0.0611042	0.008	0.142
ENSG00000162572.1	4	4	0.012	0.003	0.003	0.002	0.006
ENSG00000162572.2	76	76	0.408	0.00536842	0.00536842	0	0.063
ENSG00000127054.1	441	441	6.939	0.0157347	0.0157347	0	0.986
ENSG00000127054.2	3	3	0.92	0.306667	0.306667	0.099	0.461
ENSG00000127054.3	73	73	0.068	0.000931507	0.000931507	0	0.005
ENSG00000127054.4	141	141	0.155	0.00109929	0.00109929	0	0.011
ENSG00000107404.1	11	11	11	1	1	1	1
ENSG00000107404.2	75	75	68.438	0.912507	0.912507	0.422	1
ENSG00000162576.1	32	32	0.085	0.00265625	0.00265625	0	0.009
ENSG00000162576.2	18	18	2.451	0.136167	0.136167	0.001	0.963
ENSG00000162576.3	22	22	0.022	0.001	0.001	0	0.003
ENSG00000221978.1	19	19	0.096	0.00505263	0.00505263	0.001	0.009
ENSG00000221978.2	118	118	0.821	0.00695763	0.00695763	0	0.024
ENSG00000221978.3	15	15	0.27	0.018	0.018	0.006	0.028
ENSG00000221978.4	22	22	22	1	1	1	1
ENSG00000242485.1	33	33	0.417	0.0126364	0.0126364	0	0.063
ENSG00000242485.2	192	192	3.71	0.0193229	0.0193229	0	0.301
ENSG00000179403.1	120	120	5.112	0.0426	0.0426	0	0.185
ENSG00000197785.1	161	161	0.706	0.00438509	0.00438509	0	0.102
ENSG00000197785.2	144	144	0.558	0.003875	0.003875	0	0.09
ENSG00000197785.3	78	78	0.13	0.00166667	0.00166667	0	0.011
ENSG00000205090.1	4	4	3.886	0.9715	0.9715	0.942	0.991
ENSG00000160075.1	238	238	16.149	0.0678529	0.0678529	0	1
ENSG00000197530.1	99	99	3.286	0.0331919	0.0331919	0	0.49
ENSG00000189409.1	73	73	2.731	0.037411	0.037411	0	0.508
ENSG00000189409.2	67	67	7.011	0.104642	0.104642	0	0.871
ENSG00000189409.3	125	125	11.245	0.08996	0.08996	0	0.981
ENSG00000189409.4	76	76	2.729	0.0359079	0.0359079	0	0.577
ENSG00000248333.1	39	39	4.268	0.109436	0.109436	0	0.939
ENSG00000248333.2	42	42	0.815	0.0194048	0.0194048	0	0.202
ENSG00000248333.3	49	49	0.427	0.00871429	0.00871429	0	0.031
ENSG00000248333.4	65	65	0.408	0.00627692	0.00627692	0.001	0.018
ENSG00000248333.5	112	112	0.401	0.00358036	0.00358036	0	0.018
ENSG00000248333.6	17	17	0.04	0.00235294	0.00235294	0	0.007
ENSG00000248333.7	51	51	2.201	0.0431569	0.0431569	0	0.226
ENSG00000248333.8	68	68	13.952	0.205176	0.205176	0.001	0.483
ENSG00000248333.9	9	9	8.819	0.979889	0.979889	0.915	1
ENSG00000189339.1	9	9	0.476	0.0528889	0.0528889	0.005	0.107
